"kappa","OmegaGW"
0.00001,3.635978124475672e-6
0.000010232929922807536,3.863873949794316e-6
0.000010471285480508985,4.1059257296244805e-6
0.00001071519305237607,4.363003776332249e-6
0.000010964781961431852,4.6360312791318295e-6
0.00001122018454301963,4.925987472679734e-6
0.000011481536214968817,5.233910992482579e-6
0.000011748975549395302,5.560903427921704e-6
0.000012022644346174132,5.90813308430538e-6
0.00001230268770812381,6.2768389660054675e-6
0.000012589254117941661,6.668334993412155e-6
0.000012882495516931348,7.084014467155845e-6
0.000013182567385564074,7.525354793802126e-6
0.000013489628825916533,7.993922488018924e-6
0.000013803842646028839,8.491378467055276e-6
0.000014125375446227555,9.019483654255193e-6
0.00001445439770745928,9.580104909262545e-6
0.000014791083881682072,0.000010175221303553018
0.000015135612484362071,0.000059649027109236714
0.000015488166189124828,0.00006322622199261177
0.00001584893192461114,0.00006701414713090766
0.0000162181009735893,0.00007102502810213696
0.000016595869074375598,0.00007527178937010093
0.00001698243652461746,0.0000797680931582108
0.000017378008287493764,0.00008452838042999735
0.00001778279410038923,0.0000895679140853136
0.000018197008586099827,0.00009490282448659935
0.000018620871366628657,0.00010055015743519873
0.000019054607179632484,0.00010652792472357501
0.000019498445997580456,0.00011285515739536692
0.000019952623149688786,0.00011955196185163165
0.000020417379446695274,0.00012663957894823544
0.00002089296130854041,0.00013423403381117153
0.000021379620895022323,0.00014219904158187932
0.00002187761623949552,0.0001506289834475329
0.00002238721138568338,0.00015955050982485248
0.00002290867652767775,0.00016899176462886845
0.00002344228815319923,0.0001789824665362397
0.0000239883291901949,0.00018955399450566702
0.000024547089156850286,0.0002007394777665794
0.000025118864315095822,0.00021257389049693682
0.000025703957827688645,0.00022509415142095456
0.000026302679918953814,0.00023833922856796396
0.00002691534803926914,0.0002523502494443409
0.00002754228703338169,0.0002671706168816268
0.00002818382931264455,0.0002828461308354822
0.000028840315031266056,0.0002994251164221119
0.00002951209226666384,0.00031695851541959193
0.000030199517204020192,0.00033549901276525197
0.00003090295432513592,0.00035510113874890145
0.000031622776601683795,0.0003758224570780015
0.00003235936569296281,0.00039772376802250806
0.000033113112148259076,0.00042086926958144705
0.000033884415613920276,0.000445326727605382
0.00003467368504525317,0.00047116765516486814
0.000035481338923357534,0.0004984675014871355
0.000036307805477010174,0.0005273058508120621
0.00003715352290971728,0.0005577666315450285
0.000038018939632056124,0.0005899383361089537
0.000038904514499428046,0.0006239142519210968
0.000039810717055349695,0.0006597927039426196
0.0000407380277804113,0.0006976773092704236
0.00004168693834703355,0.0007376772442617199
0.00004265795188015926,0.0007799075247022793
0.000043651583224016566,0.0008244892995492128
0.00004466835921509635,0.0008715501587988657
0.000045708818961487516,0.0009212244560495115
0.00004677351412871981,0.000973653646347452
0.000047863009232263804,0.0010289866399232903
0.00004897788193684466,0.0010873801724431255
0.00005011872336272725,0.0011489991924164538
0.00005128613839913648,0.0012140172664191341
0.00005248074602497723,0.0012826170028052192
0.000053703179637025325,0.001354990494596138
0.00005495408738576248,0.0014313397822489687
0.00005623413251903491,0.0015118773370176451
0.000057543993733715664,0.0015968265656310446
0.00005888436553555884,0.001686422337020488
0.000060255958607435806,0.0017809115318353744
0.00006165950018614822,0.001880553615489273
0.00006309573444801929,0.0019856212354798035
0.00006456542290346563,0.002096400843722903
0.00006606934480075965,0.0022131933446360038
0.00006760829753919819,0.002336314769694256
0.00006918309709189363,0.0024674393446348394
0.00007079457843841373,0.002604085448749905
0.00007244359600749906,0.002748051367561893
0.00007413102413009176,0.002899715457238185
0.00007585775750291836,0.00305947476985782
0.00007762471166286911,0.0032277458842003845
0.00007943282347242822,0.0034049612125126275
0.00008128305161640995,0.0035915575507696265
0.00008317637711026709,0.0037879901211898535
0.0000851138038202376,0.003994737380877702
0.00008709635899560814,0.0042123018847663495
0.00008912509381337459,0.004441211189275367
0.00009120108393559096,0.004682018794971939
0.00009332543007969905,0.004935305126676361
0.00009549925860214369,0.005201678549521004
0.00009772372209558111,0.005481776419468042
0.0001,0.005776266166726874
0.00010232929922807536,0.00608584641039046
0.00010471285480508996,0.0064112481024378555
0.0001071519305237607,0.006753235699026699
0.00010964781961431851,0.007112608356727366
0.0001122018454301963,0.007490201151027445
0.0001148153621496883,0.00788688631406082
0.00011748975549395303,0.008303574488086772
0.00012022644346174131,0.008741215990758692
0.0001230268770812381,0.0092007993824654
0.00012589254117941674,0.00968330574555615
0.0001288249551693135,0.010189717047871083
0.00013182567385564074,0.0107210600138078
0.00013489628825916533,0.011278408405552361
0.00013803842646028852,0.011862883815023813
0.00014125375446227554,0.012475084214456544
0.0001445439770745928,0.013104326898183668
0.00014791083881682073,0.013775805078541706
0.00015135612484362072,0.014495480892985652
0.0001548816618912481,0.015234461549732382
0.00015848931924611142,0.016008403312292047
0.00016218100973589298,0.016818766139691802
0.00016595869074375596,0.01766706378506461
0.00016982436524617443,0.01855486397467747
0.00017378008287493763,0.019483784858141347
0.00017782794100389227,0.02045543358250435
0.00018197008586099826,0.02146931512146538
0.00018620871366628676,0.022531571155901382
0.00019054607179632481,0.02364196166135567
0.00019498445997580456,0.02480209954884912
0.00019952623149688788,0.026012059106896034
0.00020417379446695296,0.027276357842939913
0.0002089296130854041,0.028595080533468178
0.00021379620895022324,0.029970767485162583
0.00021877616239495518,0.03140524759380963
0.000223872113856834,0.03288253811647917
0.00022908676527677748,0.03445808810458219
0.00023442288153199226,0.03608028697405394
0.000239883291901949,0.03776894372478416
0.0002454708915685031,0.03952600512010829
0.0002511886431509582,0.04135329563042861
0.0002570395782768865,0.04325261364913366
0.00026302679918953814,0.04522575797896029
0.0002691534803926914,0.04727451049275473
0.0002754228703338166,0.049400544207186106
0.0002818382931264455,0.05160543536982155
0.00028840315031266055,0.05388949381961909
0.0002951209226666384,0.056256761817002066
0.0003019951720402016,0.05870765139260022
0.0003090295432513592,0.06124200971400126
0.00031622776601683794,0.06386080863681325
0.0003235936569296281,0.06656527035064051
0.0003311311214825911,0.06935606735696573
0.00033884415613920273,0.0722341969774998
0.0003467368504525317,0.07509316259595628
0.0003548133892335753,0.07824838140271435
0.0003630780547701014,0.08138462151937433
0.0003715352290971728,0.08460475679316842
0.00038018939632056124,0.0879077088236272
0.0003890451449942805,0.09129225676495073
0.00039810717055349735,0.09475479906874248
0.00040738027780411304,0.09829434195625719
0.0004168693834703355,0.10190704520289912
0.00042657951880159257,0.10558763409134135
0.0004365158322401661,0.10933258933675626
0.0004466835921509635,0.11313670786803084
0.0004570881896148752,0.11699360750449765
0.00046773514128719813,0.1208963126124712
0.00047863009232263805,0.12483709307442778
0.0004897788193684461,0.1288085818883356
0.0005011872336272725,0.13280118129902038
0.0005128613839913648,0.1368048878316835
0.0005248074602497723,0.1408090227003199
0.0005370317963702527,0.14480175855978497
0.0005495408738576248,0.1487695862577918
0.0005623413251903491,0.15270032696533148
0.0005754399373371566,0.1565793128322344
0.0005888436553555889,0.16039483607377264
0.0006025595860743581,0.1641213484713232
0.0006165950018614823,0.16775310425539017
0.000630957344480193,0.1712693568967477
0.0006456542290346556,0.1746536272972368
0.0006606934480075965,0.17788995665258336
0.0006760829753919819,0.1809616942829021
0.0006918309709189362,0.18385345110585402
0.000707945784384138,0.1865506707743548
0.0007244359600749906,0.18904069038420965
0.0007413102413009177,0.19131384980101182
0.0007585775750291835,0.1933624421489168
0.0007762471166286919,0.1951843812565239
0.0007943282347242822,0.19678154823712715
0.0008128305161640995,0.1981628475064803
0.0008317637711026709,0.19934523685901817
0.0008511380382023759,0.20035710731006137
0.0008709635899560805,0.2012372363703044
0.0008912509381337459,0.2020416268441667
0.0009120108393559096,0.20284492651068634
0.0009332543007969905,0.20374465271707654
0.0009549925860214359,0.20486834650005104
0.000977237220955811,0.20638197847108758
0.001,0.20849999677930556
0.0010232929922807546,0.21149627081977893
0.0010471285480508996,0.21573931064805735
0.001071519305237607,0.22165404583520087
0.0010964781961431851,0.23015017931010762
0.001122018454301963,0.2421208156893658
0.0011481536214968829,0.25983033288839413
0.001174897554939529,"Missing[""Fail""]"
0.001202264434617413,"Missing[""Fail""]"
0.0012302687708123812,"Missing[""Fail""]"
0.0012589254117941675,"Missing[""Fail""]"
0.0012882495516931337,"Missing[""Fail""]"
0.0013182567385564075,"Missing[""Fail""]"
0.0013489628825916532,"Missing[""Fail""]"
0.0013803842646028853,"Missing[""Fail""]"
0.001412537544622754,"Missing[""Fail""]"
0.001445439770745928,"Missing[""Fail""]"
0.0014791083881682072,"Missing[""Fail""]"
0.0015135612484362087,"Missing[""Fail""]"
0.0015488166189124811,"Missing[""Fail""]"
0.001584893192461114,"Missing[""Fail""]"
0.0016218100973589297,"Missing[""Fail""]"
0.0016595869074375613,"Missing[""Fail""]"
0.0016982436524617442,"Missing[""Fail""]"
0.0017378008287493763,"Missing[""Fail""]"
0.0017782794100389228,"Missing[""Fail""]"
0.0018197008586099844,"Missing[""Fail""]"
0.0018620871366628676,"Missing[""Fail""]"
0.0019054607179632482,"Missing[""Fail""]"
0.0019498445997580456,"Missing[""Fail""]"
0.0019952623149688807,"Missing[""Fail""]"
0.0020417379446695297,"Missing[""Fail""]"
0.0020892961308540386,"Missing[""Fail""]"
0.0021379620895022326,"Missing[""Fail""]"
0.002187761623949552,"Missing[""Fail""]"
0.00223872113856834,"Missing[""Fail""]"
0.0022908676527677724,"Missing[""Fail""]"
0.0023442288153199225,"Missing[""Fail""]"
0.00239883291901949,"Missing[""Fail""]"
0.002454708915685031,"Missing[""Fail""]"
0.0025118864315095794,"Missing[""Fail""]"
0.0025703957827688645,"Missing[""Fail""]"
0.0026302679918953813,"Missing[""Fail""]"
0.0026915348039269166,"Missing[""Fail""]"
0.002754228703338166,"Missing[""Fail""]"
0.002818382931264455,"Missing[""Fail""]"
0.0028840315031266055,"Missing[""Fail""]"
0.002951209226666387,"Missing[""Fail""]"
0.003019951720402016,"Missing[""Fail""]"
0.003090295432513592,"Missing[""Fail""]"
0.0031622776601683794,"Missing[""Fail""]"
0.003235936569296284,"Missing[""Fail""]"
0.003311311214825911,"Missing[""Fail""]"
0.0033884415613920273,"Missing[""Fail""]"
0.0034673685045253167,"Missing[""Fail""]"
0.0035481338923357567,"Missing[""Fail""]"
0.003630780547701014,"Missing[""Fail""]"
0.003715352290971724,"Missing[""Fail""]"
0.0038018939632056127,"Missing[""Fail""]"
0.003890451449942805,"Missing[""Fail""]"
0.003981071705534973,"Missing[""Fail""]"
0.004073802778041126,"Missing[""Fail""]"
0.004168693834703355,"Missing[""Fail""]"
0.004265795188015926,"Missing[""Fail""]"
0.004365158322401661,"Missing[""Fail""]"
0.0044668359215096305,"Missing[""Fail""]"
0.004570881896148752,"Missing[""Fail""]"
0.004677351412871981,"Missing[""Fail""]"
0.004786300923226385,"Missing[""Fail""]"
0.004897788193684461,"Missing[""Fail""]"
0.005011872336272725,"Missing[""Fail""]"
0.005128613839913648,"Missing[""Fail""]"
0.005248074602497728,"Missing[""Fail""]"
0.005370317963702527,"Missing[""Fail""]"
0.005495408738576248,"Missing[""Fail""]"
0.005623413251903491,"Missing[""Fail""]"
0.005754399373371573,"Missing[""Fail""]"
0.00588843655355589,"Missing[""Fail""]"
0.0060255958607435805,"Missing[""Fail""]"
0.006165950018614822,"Missing[""Fail""]"
0.006309573444801936,"Missing[""Fail""]"
0.006456542290346556,"Missing[""Fail""]"
0.006606934480075957,"Missing[""Fail""]"
0.006760829753919818,"Missing[""Fail""]"
0.006918309709189363,"Missing[""Fail""]"
0.00707945784384138,"Missing[""Fail""]"
0.007244359600749898,"Missing[""Fail""]"
0.007413102413009177,0.2045501426593473
0.007585775750291836,"Missing[""Fail""]"
0.00776247116628692,"Missing[""Fail""]"
0.007943282347242814,"Missing[""Fail""]"
0.008128305161640995,"Missing[""Fail""]"
0.008317637711026709,0.2044505358476984
0.008511380382023767,"Missing[""Fail""]"
0.008709635899560805,"Missing[""Fail""]"
0.008912509381337459,"Missing[""Fail""]"
0.009120108393559097,"Missing[""Fail""]"
0.009332543007969915,"Missing[""Fail""]"
0.009549925860214359,"Missing[""Fail""]"
0.009772372209558112,"Missing[""Fail""]"
0.01,"Missing[""Fail""]"
0.010232929922807547,"Missing[""Fail""]"
0.010471285480508996,"Missing[""Fail""]"
0.01071519305237607,"Missing[""Fail""]"
0.01096478196143185,"Missing[""Fail""]"
0.01122018454301964,"Missing[""Fail""]"
0.01148153621496883,"Missing[""Fail""]"
0.011748975549395304,"Missing[""Fail""]"
0.012022644346174132,"Missing[""Fail""]"
0.012302687708123811,"Missing[""Fail""]"
0.012589254117941675,"Missing[""Fail""]"
0.012882495516931335,"Missing[""Fail""]"
0.013182567385564075,"Missing[""Fail""]"
0.013489628825916533,"Missing[""Fail""]"
0.013803842646028852,"Missing[""Fail""]"
0.01412537544622754,"Missing[""Fail""]"
0.01445439770745928,"Missing[""Fail""]"
0.014791083881682071,"Missing[""Fail""]"
0.015135612484362087,"Missing[""Fail""]"
0.01548816618912481,"Missing[""Fail""]"
0.01584893192461114,"Missing[""Fail""]"
0.0162181009735893,"Missing[""Fail""]"
0.016595869074375613,"Missing[""Fail""]"
0.016982436524617443,"Missing[""Fail""]"
0.017378008287493762,"Missing[""Fail""]"
0.01778279410038923,"Missing[""Fail""]"
0.018197008586099843,"Missing[""Fail""]"
0.018620871366628676,"Missing[""Fail""]"
0.019054607179632484,"Missing[""Fail""]"
0.019498445997580455,"Missing[""Fail""]"
0.01995262314968881,"Missing[""Fail""]"
0.020417379446695295,"Missing[""Fail""]"
0.02089296130854041,"Missing[""Fail""]"
0.021379620895022326,"Missing[""Fail""]"
0.02187761623949552,"Missing[""Fail""]"
0.0223872113856834,"Missing[""Fail""]"
0.022908676527677724,"Missing[""Fail""]"
0.023442288153199226,"Missing[""Fail""]"
0.023988329190194897,"Missing[""Fail""]"
0.02454708915685031,"Missing[""Fail""]"
0.025118864315095794,"Missing[""Fail""]"
0.025703957827688646,"Missing[""Fail""]"
0.026302679918953815,"Missing[""Fail""]"
0.026915348039269166,"Missing[""Fail""]"
0.02754228703338166,"Missing[""Fail""]"
0.02818382931264455,"Missing[""Fail""]"
0.028840315031266057,"Missing[""Fail""]"
0.02951209226666387,"Missing[""Fail""]"
0.03019951720402016,"Missing[""Fail""]"
0.03090295432513592,"Missing[""Fail""]"
0.03162277660168379,"Missing[""Fail""]"
0.03235936569296284,"Missing[""Fail""]"
0.03311311214825911,"Missing[""Fail""]"
0.03388441561392028,"Missing[""Fail""]"
0.034673685045253165,"Missing[""Fail""]"
0.035481338923357565,"Missing[""Fail""]"
0.03630780547701014,"Missing[""Fail""]"
0.037153522909717275,"Missing[""Fail""]"
0.038018939632056124,"Missing[""Fail""]"
0.03890451449942805,"Missing[""Fail""]"
0.039810717055349734,"Missing[""Fail""]"
0.04073802778041126,"Missing[""Fail""]"
0.04168693834703355,"Missing[""Fail""]"
0.04265795188015926,"Missing[""Fail""]"
0.04365158322401661,"Missing[""Fail""]"
0.0446683592150963,"Missing[""Fail""]"
0.04570881896148752,0.2031553510033793
0.046773514128719815,"Missing[""Fail""]"
0.04786300923226385,"Missing[""Fail""]"
0.04897788193684462,"Missing[""Fail""]"
0.05011872336272725,"Missing[""Fail""]"
0.05128613839913648,"Missing[""Fail""]"
0.052480746024977286,"Missing[""Fail""]"
0.05370317963702527,"Missing[""Fail""]"
0.05495408738576248,"Missing[""Fail""]"
0.05623413251903491,"Missing[""Fail""]"
0.05754399373371572,"Missing[""Fail""]"
0.0588843655355589,"Missing[""Fail""]"
0.06025595860743581,"Missing[""Fail""]"
0.06165950018614822,"Missing[""Fail""]"
0.06309573444801936,"Missing[""Fail""]"
0.06456542290346556,"Missing[""Fail""]"
0.06606934480075964,"Missing[""Fail""]"
0.06760829753919818,"Missing[""Fail""]"
0.06918309709189363,"Missing[""Fail""]"
0.0707945784384138,"Missing[""Fail""]"
0.07244359600749899,"Missing[""Fail""]"
0.07413102413009177,"Missing[""Fail""]"
0.07585775750291836,"Missing[""Fail""]"
0.07762471166286919,"Missing[""Fail""]"
0.07943282347242814,"Missing[""Fail""]"
0.08128305161640995,"Missing[""Fail""]"
0.08317637711026708,"Missing[""Fail""]"
0.08511380382023767,"Missing[""Fail""]"
0.08709635899560805,"Missing[""Fail""]"
0.08912509381337459,"Missing[""Fail""]"
0.09120108393559097,"Missing[""Fail""]"
0.09332543007969915,"Missing[""Fail""]"
0.09549925860214359,"Missing[""Fail""]"
0.09772372209558111,"Missing[""Fail""]"
0.1,"Missing[""Fail""]"
0.10232929922807536,"Missing[""Fail""]"
0.10471285480509006,"Missing[""Fail""]"
0.10715193052376071,"Missing[""Fail""]"
0.1096478196143185,"Missing[""Fail""]"
0.1122018454301963,"Missing[""Fail""]"
0.1148153621496884,"Missing[""Fail""]"
0.11748975549395303,"Missing[""Fail""]"
0.12022644346174131,"Missing[""Fail""]"
0.1230268770812381,"Missing[""Fail""]"
0.12589254117941662,"Missing[""Fail""]"
0.1288249551693135,"Missing[""Fail""]"
0.13182567385564073,"Missing[""Fail""]"
0.13489628825916533,"Missing[""Fail""]"
0.13803842646028838,"Missing[""Fail""]"
0.14125375446227553,"Missing[""Fail""]"
0.1445439770745928,"Missing[""Fail""]"
0.1479108388168207,"Missing[""Fail""]"
0.1513561248436207,"Missing[""Fail""]"
0.15488166189124827,"Missing[""Fail""]"
0.15848931924611143,"Missing[""Fail""]"
0.16218100973589297,"Missing[""Fail""]"
0.16595869074375597,"Missing[""Fail""]"
0.1698243652461746,"Missing[""Fail""]"
0.17378008287493762,"Missing[""Fail""]"
0.1778279410038923,"Missing[""Fail""]"
0.18197008586099825,"Missing[""Fail""]"
0.18620871366628694,"Missing[""Fail""]"
0.19054607179632482,"Missing[""Fail""]"
0.19498445997580455,"Missing[""Fail""]"
0.1995262314968879,"Missing[""Fail""]"
0.20417379446695316,"Missing[""Fail""]"
0.2089296130854041,"Missing[""Fail""]"
0.21379620895022325,"Missing[""Fail""]"
0.21877616239495518,"Missing[""Fail""]"
0.22387211385683423,"Missing[""Fail""]"
0.22908676527677746,"Missing[""Fail""]"
0.23442288153199228,"Missing[""Fail""]"
0.239883291901949,"Missing[""Fail""]"
0.24547089156850285,"Missing[""Fail""]"
0.25118864315095824,"Missing[""Fail""]"
0.25703957827688645,"Missing[""Fail""]"
0.26302679918953814,"Missing[""Fail""]"
0.2691534803926914,"Missing[""Fail""]"
0.2754228703338169,"Missing[""Fail""]"
0.2818382931264455,"Missing[""Fail""]"
0.28840315031266056,"Missing[""Fail""]"
0.2951209226666384,"Missing[""Fail""]"
0.30199517204020193,"Missing[""Fail""]"
0.30902954325135923,"Missing[""Fail""]"
0.31622776601683794,"Missing[""Fail""]"
0.3235936569296281,"Missing[""Fail""]"
0.33113112148259144,"Missing[""Fail""]"
0.33884415613920277,"Missing[""Fail""]"
0.34673685045253166,"Missing[""Fail""]"
0.3548133892335753,"Missing[""Fail""]"
0.36307805477010174,"Missing[""Fail""]"
0.3715352290971728,"Missing[""Fail""]"
0.38018939632056126,"Missing[""Fail""]"
0.3890451449942805,"Missing[""Fail""]"
0.39810717055349776,"Missing[""Fail""]"
0.407380277804113,"Missing[""Fail""]"
0.41686938347033553,"Missing[""Fail""]"
0.42657951880159256,"Missing[""Fail""]"
0.43651583224016566,"Missing[""Fail""]"
0.4466835921509635,"Missing[""Fail""]"
0.4570881896148752,"Missing[""Fail""]"
0.4677351412871981,"Missing[""Fail""]"
0.47863009232263803,"Missing[""Fail""]"
0.48977881936844664,"Missing[""Fail""]"
0.5011872336272725,"Missing[""Fail""]"
0.5128613839913648,"Missing[""Fail""]"
0.5248074602497723,"Missing[""Fail""]"
0.5370317963702532,"Missing[""Fail""]"
0.5495408738576248,"Missing[""Fail""]"
0.5623413251903491,"Missing[""Fail""]"
0.5754399373371566,"Missing[""Fail""]"
0.5888436553555896,"Missing[""Fail""]"
0.6025595860743581,"Missing[""Fail""]"
0.6165950018614822,"Missing[""Fail""]"
0.630957344480193,"Missing[""Fail""]"
0.6456542290346563,"Missing[""Fail""]"
0.6606934480075964,"Missing[""Fail""]"
0.6760829753919819,"Missing[""Fail""]"
0.6918309709189363,"Missing[""Fail""]"
0.7079457843841388,"Missing[""Fail""]"
0.7244359600749906,"Missing[""Fail""]"
0.7413102413009177,"Missing[""Fail""]"
0.7585775750291835,"Missing[""Fail""]"
0.7762471166286912,"Missing[""Fail""]"
0.7943282347242822,"Missing[""Fail""]"
0.8128305161640995,"Missing[""Fail""]"
0.8317637711026709,"Missing[""Fail""]"
0.8511380382023759,"Missing[""Fail""]"
0.8709635899560815,"Missing[""Fail""]"
0.8912509381337459,"Missing[""Fail""]"
0.9120108393559097,"Missing[""Fail""]"
0.9332543007969905,"Missing[""Fail""]"
0.9549925860214369,"Missing[""Fail""]"
0.9772372209558111,"Missing[""Fail""]"
1.,"Missing[""Fail""]"
1.0232929922807537,"Missing[""Fail""]"
1.0471285480509007,"Missing[""Fail""]"
1.071519305237607,"Missing[""Fail""]"
1.096478196143185,"Missing[""Fail""]"
1.122018454301963,"Missing[""Fail""]"
1.1481536214968842,"Missing[""Fail""]"
1.1748975549395304,0.01655231655150283
1.2022644346174132,0.012168902839654798
1.2302687708123812,0.009161797713201516
1.2589254117941688,0.0069579905589293185
1.288249551693135,0.005293540455126597
1.3182567385564075,0.004017161959892608
1.3489628825916533,0.0030310968783783415
1.3803842646028839,0.0022671943072789997
1.4125375446227555,0.0016764638206281034
1.4454397707459279,0.0012224008791260328
1.4791083881682072,0.0008763686533465855
1.513561248436207,0.0006152996075201227
1.5488166189124828,0.0004210094708533132
1.584893192461114,0.0002794353859659889
1.6218100973589298,0.0001788135786420393
1.6595869074375598,0.00010913403770274647
1.698243652461746,0.00006260062668214883
1.7378008287493762,0.000033254166838448266
1.7782794100389228,0.000015921624214182678
1.8197008586099825,6.4594455606855356e-6
1.8620871366628695,2.0723054939142704e-6
1.9054607179632483,4.3008225076854757e-7
1.9498445997580456,3.207649043410268e-8
1.9952623149688788,0.
2.041737944669532,0.
2.089296130854041,0.
2.1379620895022327,0.
2.1877616239495516,0.
2.2387211385683425,0.
2.290867652767775,0.
2.344228815319923,0.
2.39883291901949,0.
2.4547089156850284,0.
2.5118864315095824,0.
2.570395782768865,0.
2.6302679918953813,0.
2.691534803926914,0.
2.754228703338169,0.
2.818382931264455,0.
2.8840315031266055,0.
2.951209226666384,0.
3.019951720402019,0.
3.090295432513592,0.
3.1622776601683795,0.
3.235936569296281,0.
3.3113112148259143,0.
3.3884415613920273,0.
3.4673685045253166,0.
3.5481338923357533,0.
3.6307805477010175,0.
3.715352290971728,0.
3.801893963205613,0.
3.890451449942805,0.
3.9810717055349776,0.
4.07380277804113,0.
4.168693834703355,0.
4.265795188015925,0.
4.365158322401657,0.
4.4668359215096345,0.
4.570881896148752,0.
4.677351412871981,0.
4.7863009232263805,0.
4.897788193684466,0.
5.011872336272725,0.
5.1286138399136485,0.
5.248074602497723,0.
5.370317963702533,0.
5.4954087385762485,0.
5.623413251903491,0.
5.754399373371567,0.
5.888436553555896,0.
6.025595860743581,0.
6.165950018614822,0.
6.30957344480193,0.
6.456542290346563,0.
6.606934480075965,0.
6.760829753919819,0.
6.918309709189363,0.
7.0794578438413875,0.
7.244359600749906,0.
7.413102413009177,0.
7.585775750291836,0.
7.762471166286912,0.
7.943282347242821,0.
8.128305161640995,0.
8.317637711026709,0.
8.51138038202376,0.
8.709635899560814,0.
8.91250938133746,0.
9.120108393559097,0.
9.332543007969905,0.
9.549925860214369,0.
9.772372209558112,0.
10.,0.
